datetime,wd
15/07/2020,98.48
16/07/2020,66.54
17/07/2020,81.9
18/07/2020,104.49
19/07/2020,94.93
20/07/2020,87.26
21/07/2020,111.17
22/07/2020,77.44
23/07/2020,92.03
24/07/2020,91.59
25/07/2020,95.01
26/07/2020,75.34
27/07/2020,87.71
28/07/2020,118.31
29/07/2020,130.33
30/07/2020,115.07
31/07/2020,76.88
01/08/2020,99.18
02/08/2020,129.03
03/08/2020,94.95
04/08/2020,64.52
05/08/2020,130.85
06/08/2020,93.26
07/08/2020,91.87
08/08/2020,91.71
09/08/2020,100.83
10/08/2020,100.69
11/08/2020,104.62
12/08/2020,71.97
13/08/2020,97.46
14/08/2020,79.97
15/08/2020,100.09
16/08/2020,83.39
17/08/2020,67.74
18/08/2020,120.21
19/08/2020,87.54
20/08/2020,89.62
21/08/2020,89.08
22/08/2020,52.76
23/08/2020,79.22
24/08/2020,86.8
25/08/2020,95.28
26/08/2020,101.51
27/08/2020,87.74
28/08/2020,93.2
29/08/2020,69.48
30/08/2020,73.83
31/08/2020,115.89
01/09/2020,108.8
02/09/2020,206.61
03/09/2020,134.28
04/09/2020,84.09
05/09/2020,149.47
06/09/2020,115.1
07/09/2020,112.83
08/09/2020,100.98
09/09/2020,80.93
10/09/2020,163.54
11/09/2020,96.27
12/09/2020,173.84
13/09/2020,144
14/09/2020,145.5
15/09/2020,102.32
16/09/2020,135.54
17/09/2020,89.86
18/09/2020,105.89
19/09/2020,92.92
20/09/2020,76.36
21/09/2020,160.06
22/09/2020,117.19
23/09/2020,162.98
24/09/2020,129.49
25/09/2020,71.84
26/09/2020,133.94
27/09/2020,134.35
28/09/2020,97.75
29/09/2020,87.24
30/09/2020,101.4
01/10/2020,83.17
02/10/2020,171.01
03/10/2020,120.36
04/10/2020,174.46
05/10/2020,139.88
06/10/2020,125.41
07/10/2020,112.28
08/10/2020,156.04
09/10/2020,113.27
10/10/2020,116.58
11/10/2020,107.24
12/10/2020,106.65
13/10/2020,107.94
14/10/2020,182.23
15/10/2020,202.95
16/10/2020,88.93
17/10/2020,124.82
18/10/2020,130.25
19/10/2020,112.56
20/10/2020,91.83
21/10/2020,109.81
22/10/2020,217.52
23/10/2020,149.46
24/10/2020,145.42
25/10/2020,132.98
26/10/2020,125.09
27/10/2020,73.28
28/10/2020,130.04
29/10/2020,65.38
30/10/2020,76.01
31/10/2020,86.5
01/11/2020,215.17
02/11/2020,154.05
03/11/2020,178.29
04/11/2020,117.7
05/11/2020,61.66
06/11/2020,81.61
07/11/2020,86.3
08/11/2020,80.56
09/11/2020,97.07
10/11/2020,137.76
11/11/2020,117.2
12/11/2020,99.42
13/11/2020,91.54
14/11/2020,131.27
15/11/2020,96.53
16/11/2020,103.1
17/11/2020,156.66
18/11/2020,117.74
19/11/2020,128.19
20/11/2020,101.75
21/11/2020,106.09
22/11/2020,129.01
23/11/2020,213.08
24/11/2020,131.71
25/11/2020,107.53
26/11/2020,169.61
27/11/2020,98.63
28/11/2020,147.99
29/11/2020,236.48
30/11/2020,228.39
01/12/2020,199
02/12/2020,210.51
03/12/2020,175.99
04/12/2020,191.08
05/12/2020,218.05
06/12/2020,207.41
07/12/2020,210.17
08/12/2020,224.65
09/12/2020,254.25
10/12/2020,201.58
11/12/2020,223.1
12/12/2020,215.99
13/12/2020,218.01
14/12/2020,204.93
15/12/2020,220.52
16/12/2020,205.65
17/12/2020,239.11
18/12/2020,249.33
19/12/2020,245.03
20/12/2020,228.47
21/12/2020,224.94
22/12/2020,173.44
23/12/2020,171.43
24/12/2020,185.11
25/12/2020,231.18
26/12/2020,224.14
27/12/2020,240.74
28/12/2020,246.77
29/12/2020,231.11
30/12/2020,205.57
31/12/2020,194.74
