datetime,temp
29/05/2019,3.17
30/05/2019,12.4
31/05/2019,21.77
01/06/2019,28.38
02/06/2019,27.91
03/06/2019,28.14
04/06/2019,27.97
05/06/2019,26.94
06/06/2019,25.85
07/06/2019,27.12
08/06/2019,28.11
09/06/2019,27.07
10/06/2019,27.51
11/06/2019,27.82
12/06/2019,27.85
13/06/2019,28.8
14/06/2019,27.69
15/06/2019,27.43
16/06/2019,28.82
17/06/2019,27.28
18/06/2019,25.18
19/06/2019,27.66
20/06/2019,27.95
21/06/2019,28.02
22/06/2019,27.86
23/06/2019,27.96
24/06/2019,26.75
25/06/2019,28.11
26/06/2019,26.58
27/06/2019,27.95
28/06/2019,28.27
29/06/2019,27.3
30/06/2019,28.55
01/07/2019,26.72
02/07/2019,26.8
03/07/2019,28.78
04/07/2019,28.56
05/07/2019,26.71
06/07/2019,27.31
07/07/2019,27.14
08/07/2019,27.11
09/07/2019,27.56
10/07/2019,27.34
11/07/2019,26.96
12/07/2019,26.91
13/07/2019,28.29
14/07/2019,28.4
15/07/2019,28.8
16/07/2019,27.07
17/07/2019,26.26
18/07/2019,27.8
19/07/2019,26.92
20/07/2019,25.65
21/07/2019,26.97
22/07/2019,25.86
23/07/2019,27.8
24/07/2019,27.28
25/07/2019,27.32
26/07/2019,27.93
27/07/2019,28.52
28/07/2019,28.92
29/07/2019,28.43
30/07/2019,27.85
31/07/2019,29.06
01/08/2019,26.74
02/08/2019,26.25
03/08/2019,26.51
04/08/2019,27
05/08/2019,26.96
06/08/2019,27.27
07/08/2019,26.85
08/08/2019,21.23
09/08/2019,26.54
10/08/2019,27.11
11/08/2019,27.17
12/08/2019,27.65
13/08/2019,27.06
14/08/2019,25.31
15/08/2019,28.14
16/08/2019,27.41
17/08/2019,29.23
18/08/2019,28.18
19/08/2019,27.05
20/08/2019,27.99
21/08/2019,27.81
22/08/2019,27.77
23/08/2019,27.24
24/08/2019,27.25
25/08/2019,27.88
26/08/2019,28.33
27/08/2019,27.27
28/08/2019,28.48
29/08/2019,27.05
30/08/2019,26.52
31/08/2019,28.26
01/09/2019,27.1
02/09/2019,27.08
03/09/2019,26.91
04/09/2019,26.77
05/09/2019,27.03
06/09/2019,26.74
07/09/2019,25.94
08/09/2019,26.97
09/09/2019,28.1
10/09/2019,27.74
11/09/2019,27.28
12/09/2019,27.57
13/09/2019,28.85
14/09/2019,27.61
15/09/2019,27.4
16/09/2019,28.5
17/09/2019,27.28
18/09/2019,28.41
19/09/2019,27.73
20/09/2019,29.06
21/09/2019,27.5
22/09/2019,28.16
23/09/2019,27.39
24/09/2019,26.96
25/09/2019,28.01
26/09/2019,29.05
27/09/2019,28.59
28/09/2019,28.14
29/09/2019,28.5
30/09/2019,27.32
01/10/2019,28.1
02/10/2019,26.91
03/10/2019,27.18
04/10/2019,26
05/10/2019,27.46
06/10/2019,27.21
07/10/2019,28.18
08/10/2019,26.15
09/10/2019,26.38
10/10/2019,26
11/10/2019,26.47
12/10/2019,26.94
13/10/2019,27.47
14/10/2019,27.55
15/10/2019,27.36
16/10/2019,29.82
17/10/2019,29.65
18/10/2019,29.83
19/10/2019,30.12
20/10/2019,29.54
21/10/2019,27.95
22/10/2019,28.24
23/10/2019,25.01
24/10/2019,27.63
25/10/2019,28.94
26/10/2019,28.81
27/10/2019,27.69
28/10/2019,27.23
29/10/2019,27.22
30/10/2019,28.15
31/10/2019,28.57
01/11/2019,26.98
02/11/2019,27.27
03/11/2019,27.72
04/11/2019,27.89
05/11/2019,28.26
06/11/2019,28.28
07/11/2019,29.16
08/11/2019,26.43
09/11/2019,26.47
10/11/2019,25.67
11/11/2019,25.44
12/11/2019,26.77
13/11/2019,25.57
14/11/2019,27.72
15/11/2019,27.03
16/11/2019,28.61
17/11/2019,29.04
18/11/2019,27.85
19/11/2019,29.69
20/11/2019,28.05
21/11/2019,27.02
22/11/2019,27.82
23/11/2019,28.54
24/11/2019,29.17
25/11/2019,27.99
26/11/2019,28.36
27/11/2019,28.81
28/11/2019,27.73
29/11/2019,27.73
30/11/2019,28.4
01/12/2019,27.71
02/12/2019,26.07
03/12/2019,27.01
04/12/2019,24.97
05/12/2019,25.95
06/12/2019,27.59
07/12/2019,27.81
08/12/2019,26.32
09/12/2019,28.75
10/12/2019,28.34
11/12/2019,25.76
12/12/2019,26.81
13/12/2019,28.91
14/12/2019,27.58
15/12/2019,27.62
16/12/2019,29.2
17/12/2019,27.17
18/12/2019,28.93
19/12/2019,28
20/12/2019,29.11
21/12/2019,28.45
22/12/2019,28.19
23/12/2019,28.63
24/12/2019,28.82
25/12/2019,28.33
26/12/2019,28.58
27/12/2019,28.25
28/12/2019,29.04
29/12/2019,28.64
30/12/2019,28.71
31/12/2019,31.08
01/01/2020,29.73
02/01/2020,28.38
03/01/2020,28.47
04/01/2020,28.44
05/01/2020,27.15
06/01/2020,26.9
07/01/2020,27.8
08/01/2020,27.93
09/01/2020,27.05
10/01/2020,25.49
11/01/2020,27.57
12/01/2020,28.78
13/01/2020,27.71
14/01/2020,28.42
15/01/2020,28.53
16/01/2020,28.16
17/01/2020,28.26
18/01/2020,27.49
19/01/2020,29.33
20/01/2020,28.6
21/01/2020,28.78
22/01/2020,29.06
23/01/2020,28.27
24/01/2020,26.28
25/01/2020,26.94
26/01/2020,28.33
27/01/2020,28.66
28/01/2020,29.31
29/01/2020,28.67
30/01/2020,28.62
31/01/2020,27.71
01/02/2020,25.79
02/02/2020,27.03
03/02/2020,26.41
04/02/2020,27.67
05/02/2020,27.16
06/02/2020,26.87
07/02/2020,26.24
08/02/2020,26.73
09/02/2020,26.81
10/02/2020,29.9
11/02/2020,30.05
12/02/2020,29.55
13/02/2020,28.64
14/02/2020,27.29
15/02/2020,28.27
16/02/2020,26.76
17/02/2020,26.98
18/02/2020,27.45
19/02/2020,26.79
20/02/2020,26.81
21/02/2020,28.04
22/02/2020,28.35
23/02/2020,28.8
24/02/2020,27.86
25/02/2020,27.65
26/02/2020,28.65
27/02/2020,27.76
28/02/2020,27.91
29/02/2020,27.12
01/03/2020,27.21
02/03/2020,28.75
03/03/2020,29.17
04/03/2020,27.32
05/03/2020,28.08
06/03/2020,29.6
07/03/2020,29.17
08/03/2020,29.02
09/03/2020,30.07
10/03/2020,30.45
11/03/2020,28.52
12/03/2020,27.12
13/03/2020,28.8
14/03/2020,28.93
15/03/2020,29.1
16/03/2020,27.87
17/03/2020,30.16
18/03/2020,27.2
19/03/2020,27.25
20/03/2020,26.87
21/03/2020,28.91
22/03/2020,27.26
23/03/2020,28.42
24/03/2020,28.71
25/03/2020,29.16
26/03/2020,28.36
27/03/2020,28.57
28/03/2020,29.79
29/03/2020,29.16
30/03/2020,27.42
31/03/2020,28.02
01/04/2020,29.17
02/04/2020,30.09
03/04/2020,28.76
04/04/2020,29.32
05/04/2020,28.86
06/04/2020,27.17
07/04/2020,29.05
08/04/2020,29.31
09/04/2020,28.55
10/04/2020,28.16
11/04/2020,29.93
12/04/2020,29.14
13/04/2020,27.61
14/04/2020,28.61
15/04/2020,28.46
16/04/2020,29.78
17/04/2020,29.22
18/04/2020,29.36
19/04/2020,30.24
20/04/2020,30.54
21/04/2020,29.36
22/04/2020,30.88
23/04/2020,30.85
24/04/2020,29.07
25/04/2020,29.99
26/04/2020,29.22
27/04/2020,28.05
28/04/2020,27.54
29/04/2020,28.84
30/04/2020,28.25
01/05/2020,28.67
02/05/2020,27.57
03/05/2020,29.98
04/05/2020,28.02
05/05/2020,30.22
06/05/2020,29.58
07/05/2020,30.84
08/05/2020,29.92
09/05/2020,28.36
10/05/2020,29.21
11/05/2020,30.02
12/05/2020,30.58
13/05/2020,30.11
14/05/2020,30.3
15/05/2020,29.96
16/05/2020,30.64
17/05/2020,30.46
18/05/2020,26.86
19/05/2020,29.94
20/05/2020,28.47
21/05/2020,29.75
22/05/2020,29.7
23/05/2020,30.14
24/05/2020,31.28
25/05/2020,29.8
26/05/2020,29.94
27/05/2020,29.45
28/05/2020,29.6
29/05/2020,29.44
30/05/2020,30.09
31/05/2020,27.45
01/06/2020,29.56
02/06/2020,29.64
03/06/2020,29.25
04/06/2020,29.96
05/06/2020,29.04
06/06/2020,29.71
07/06/2020,29.79
08/06/2020,29.85
09/06/2020,28.68
10/06/2020,29.86
11/06/2020,28.96
12/06/2020,29.64
13/06/2020,29.5
14/06/2020,30.86
15/06/2020,29.75
16/06/2020,29.62
17/06/2020,30.59
18/06/2020,29.86
19/06/2020,28.49
20/06/2020,29.78
21/06/2020,29.19
22/06/2020,28.01
23/06/2020,28.65
24/06/2020,29.03
25/06/2020,29.36
26/06/2020,29.41
27/06/2020,29.51
28/06/2020,29.81
29/06/2020,30.02
30/06/2020,29.7
01/07/2020,30.32
02/07/2020,31.29
03/07/2020,31.41
04/07/2020,31.34
05/07/2020,31.28
06/07/2020,31.21
07/07/2020,31.14
08/07/2020,31.08
09/07/2020,31.01
10/07/2020,30.94
11/07/2020,30.87
12/07/2020,30.81
13/07/2020,30.74
14/07/2020,28.87
15/07/2020,27.83
16/07/2020,28.4
17/07/2020,29.44
18/07/2020,29.08
19/07/2020,29.29
20/07/2020,29.62
21/07/2020,29.33
22/07/2020,29.56
23/07/2020,29.49
24/07/2020,29.45
25/07/2020,29.31
26/07/2020,28.61
27/07/2020,28.87
28/07/2020,28.9
29/07/2020,29.2
30/07/2020,28.59
31/07/2020,28.32
01/08/2020,28.36
02/08/2020,28.68
03/08/2020,29.84
04/08/2020,29.33
05/08/2020,29.04
06/08/2020,29.56
07/08/2020,29.4
08/08/2020,28.43
09/08/2020,28.69
10/08/2020,29.56
11/08/2020,29.04
12/08/2020,29.59
13/08/2020,25.77
14/08/2020,28.22
15/08/2020,29.07
16/08/2020,29.39
17/08/2020,29.61
18/08/2020,28.16
19/08/2020,29.91
20/08/2020,29.15
21/08/2020,28.97
22/08/2020,29.77
23/08/2020,29.97
24/08/2020,29.23
25/08/2020,30
26/08/2020,29.53
27/08/2020,29.19
28/08/2020,29.94
29/08/2020,30.07
30/08/2020,29.89
31/08/2020,29.63
01/09/2020,30.54
02/09/2020,30.09
03/09/2020,31.3
04/09/2020,30.81
05/09/2020,29.26
06/09/2020,29.4
07/09/2020,30.1
08/09/2020,30.43
09/09/2020,30.52
10/09/2020,29.45
11/09/2020,29.65
12/09/2020,29.64
13/09/2020,29.7
14/09/2020,27.96
15/09/2020,27.3
16/09/2020,29
17/09/2020,29.52
18/09/2020,29.89
19/09/2020,30.48
20/09/2020,25.86
21/09/2020,27.59
22/09/2020,28.03
23/09/2020,29.43
24/09/2020,29.84
25/09/2020,30.24
26/09/2020,29.04
27/09/2020,28.22
28/09/2020,30.13
29/09/2020,29.81
30/09/2020,30.67
01/10/2020,30.61
02/10/2020,29.34
03/10/2020,27.69
04/10/2020,28.03
05/10/2020,29.49
06/10/2020,29.25
07/10/2020,29.89
08/10/2020,28.91
09/10/2020,29.02
10/10/2020,28.03
11/10/2020,28.83
12/10/2020,30.02
13/10/2020,29.9
14/10/2020,30.21
15/10/2020,30.11
16/10/2020,27.94
17/10/2020,29.41
18/10/2020,29.16
19/10/2020,28
20/10/2020,28.27
21/10/2020,27.39
22/10/2020,29.87
23/10/2020,29.9
24/10/2020,28.88
25/10/2020,28.36
26/10/2020,27.27
27/10/2020,26.48
28/10/2020,28.72
29/10/2020,30.01
30/10/2020,28.65
31/10/2020,27.86
01/11/2020,27.61
02/11/2020,28.67
03/11/2020,29.17
04/11/2020,28.61
05/11/2020,27.35
06/11/2020,27.71
07/11/2020,29.13
08/11/2020,28.4
09/11/2020,30.19
10/11/2020,29.23
11/11/2020,30.02
12/11/2020,30.31
13/11/2020,30.56
14/11/2020,30.4
15/11/2020,30.85
16/11/2020,30.46
17/11/2020,29.51
18/11/2020,29.62
19/11/2020,30.61
20/11/2020,29.21
21/11/2020,29.34
22/11/2020,29.11
23/11/2020,27.7
24/11/2020,28.2
25/11/2020,27.63
26/11/2020,29.31
27/11/2020,28.8
28/11/2020,29.11
29/11/2020,27.62
30/11/2020,27.94
01/12/2020,29.34
02/12/2020,29.18
03/12/2020,27.66
04/12/2020,27.88
05/12/2020,27.08
06/12/2020,26.07
07/12/2020,26.57
08/12/2020,28.59
09/12/2020,28.9
10/12/2020,28.27
11/12/2020,27.53
12/12/2020,28.24
13/12/2020,27.38
14/12/2020,27.95
15/12/2020,28.17
16/12/2020,28.12
17/12/2020,28.12
18/12/2020,28.3
19/12/2020,28.62
20/12/2020,27.05
21/12/2020,27.64
22/12/2020,28.47
23/12/2020,29.96
24/12/2020,28.33
25/12/2020,29.5
26/12/2020,29.9
27/12/2020,29.39
28/12/2020,29.05
29/12/2020,28.55
30/12/2020,27.34
31/12/2020,26.5
